ID;Auteur;Titre de la page;URL;Type de média;Type auteur;Langue;VIAF_URI;BNF_URI;Wiki_URI
1;Accilien, Selmy;Selmy Accilien poète;https://www.facebook.com/www.revedemuse.livre/.;Facebook;;français, créole;https://viaf.org/viaf/4001147907529779210000/#Accilien,_Selmy,_1992-_|_Poems._Selections;https://data.bnf.fr/fr/17069496/selmy_accilien/;
2;Anonyme;blogueuse haïtienne (limite littérature) ;https://laloidemabouche.ht/.;blog;;français, créole;;;
3;Anonyme;Des fleurs et des Poèmes, La littérature comme arme ;https://desfleursetdespoemes.wordpress.com/.;blog Wordpress;;français, créole;;;
4;Apollon, Pascal;Poète, slameur ;https://www.facebook.com/pascal.apollon?__tn__=CH-R&eid=ARCWH-Ao6Ze4LavcRmY_nfsiDjRzpgVqnChwnXPE68lxine0wvd-xyFKSrQfx9nv7rbI3wZNi2oIYT-P&hc_ref=ARTyudIX4FvLVi_kkEjgprkV9mkqILib1oWNA_wnTbjJ5c4UN8LoaHgER_IBBs2BiFU&fref=nf&__xts__[0]=68.ARAA62jgYn-vkwA1v2QS4IGDrL818fmgnHRiBjZyDPbfoRubJKYElvBv9Mmi1dznRNJcs2TtgTqIy3-ZL-TOaL9lWDM3xTDkhDSXmGPTQkq6YV2aVRMOs6qjSQUBFrhRz9EthK9UxJC9RDrjX-Rgi_Q3sLsIXBScDaxVQukxlqBU_nwyP4iwBEqGPjFfRHMqFJnqymWWEy62LXUftVBXrebMQK2X8SZuuyMWFCzBkJi0SptTxT2ttusH28rBqN8W_d_ryesb3QGGCxjyx9NHg51f1zj480K-vxwRx1TYJPWoNmtdlKkNd3rZY7bugdl1DnmBzTfvPzO_rMtpDDvHWw;Facebook;;;https://viaf.org/viaf/9154981703367740119/#Apollon,_Pascal_1994-....;https://data.bnf.fr/fr/17784900/pascal_apollon/;
5;Association - ASCODELA;Association ASCODELA;http://ascodela.over-blog.com/.;blog;;;;;
6;Bidler, Nelson;blog avec œuvres diverses ;https://www.facebook.com/magiepoetique/.;Facebook;;;;;
7;Bidler, Nelson;blog d’écrivain haïtien. Considéré comme revue ;https://magiepoetique.blogspot.com/.;blog supprimé;;;;;
8;Bonel, Auguste;Poèmes ;https://armorpassion.com/poesie/poesie%20virtuelle/Auguste%20Bonel/Auguste%20Bonel.htm.;blog;;;https://viaf.org/viaf/263224449/#Bonel,_P.G.A.;https://data.bnf.fr/fr/16688098/bonel_auguste/;https://ht.wikipedia.org/wiki/Bonel_Auguste
9;Bonhomme, Adlyne;Adlyne Bonhomme;https://short-edition.com/fr/auteur/adlyne-bonhomme.;plateforme éditoriale;;;;;
10;Bonhomme, Adlyne;Poèmes d’Haïti, Adlyne Bonhomme. Pergola, Revue littéraire et culturelle;https://pergolarevue.wordpress.com/2018/02/16/poemes-dhaiti-dadlyne-bonhomme/.;blog Wordpress;;;;;
11;Cénas, Peter;blog de poète ;http://petercenas-com.over-blog.com/.;blog;;;;;
12;Cocks, Georges;cocks georges ecrivain-poète-romancier Guadeloupeen, biographie;http://cocksgeorges.jimdo.com/.;blog;;;https://viaf.org/viaf/6647151595784205470007/#Cocks,_Georges_1975-....;https://data.bnf.fr/fr/16180266/georges_cocks/;https://fr.wikipedia.org/wiki/Georges_Cocks
13;Collectif - ParoleArchipel;La parole en archipel ;https://parolenarchipel.wordpress.com/.;blog Wordpress;;;;;
14;Collectif - Société du samedi soir;facebook de la société du samedi soir ;https://www.facebook.com/Soci%C3%A9t%C3%A9-du-Samedi-Soir-834505903316265/;blog communautaire Facebook;;;;;
15;Collectif - Société du samedi soir;Société du samedi soir;https://www.facebook.com/pg/Soci%C3%A9t%C3%A9-du-Samedi-Soir-834505903316265/posts/.;blog communautaire Facebook;;;;;
16;D’Amérique, Jean;blog de poète haïtien ;https://blogs.mediapart.fr/jean-damerique/blog.;blog Médiapart;;;https://viaf.org/viaf/24150686391212540897/#D'Amérique,_Jean_1994-;https://data.bnf.fr/fr/17748761/jean_d__amerique/;https://fr.wikipedia.org/wiki/Jean_D%27Amérique
17;Delisca, Alain;Changement de vie. Nouvelle Haïti;https://short-edition.com/fr/oeuvre/nouvelles/changement-de-vie-3.;plateforme éditoriale;;;;;
18;Guyve, Françis John;guyveco;https://guyvecohaiti.blogspot.com/.;blog;;;;;
19;Jeudi, Inema;Poésie;https://www.facebook.com/inema.jeudi.;Facebook;;;https://viaf.org/viaf/174072757/#Jeudinéma;https://data.bnf.fr/fr/17083900/jeudinema/;https://fr.wikipedia.org/wiki/Inéma_Jeudi
20;Jeudi, Jean Verdin;Blog;http://goman.over-blog.com/.;blog;;;;;
21;Jeudi, Jean Verdin;poésie facebook;https://www.facebook.com/La-po%C3%A9sie-de-TOLI-905199502872617/?fref=nf.;Facebook;;;;;
22;Jeudi, Jean Verdin;poète haïtien ;http://verdino.unblog.fr/.;blog;;;;;
23;Joseph, Ludmilla;Page Facebook de Ludmilla Joseph ;https://www.facebook.com/o.l.joseph?__tn__=%2Cd-]-h-R&eid=ARCa2U_AReiOh0ul-HrpqlL14fCvh754148wIt2Qo_holBipTRHBjflJXBzVmJ4WLHQShnBN2dhHkI_w.;Facebook;;;;;
24;Joubert, Joseph;blog de poète ;http://joubertjoseph.blogspot.com/.;blog;;;;;
25;Malivert, Mario;Déferlement de mots;http://deferlement-de-mots.blogspot.com/.;blog;;;https://viaf.org/viaf/36031135/#Malivert,_Mario;;
26;Manuel-Etienne, Marie Andrée;page Facebook;https://www.facebook.com/marieandree.1945/posts/merci-mireille-bertrand-lherisson/10154187077022625/.;Facebook;;;https://viaf.org/viaf/71568708/#Manuel_Étienne,_Marie-Andrée;https://data.bnf.fr/fr/13620694/marie-andree_manuel_etienne/;
27;Moïse, Serge;page Facebook ;https://www.facebook.com/profile.php?id=100005577829154&pageid=132295630131778&ftentidentifier=2905364359491544&padding=0.;Facebook;;;https://viaf.org/viaf/309817046/#Moïse,_Serge_H.,_1942-;https://data.bnf.fr/fr/17081964/serge_h__moise/;
28;Monfils, Marie;page Facebook de Marie Monfils ;https://www.facebook.com/marie.monfils.9?__tn__=K-R&eid=ARDgsW7euKm1lzURJ_gnD7bRFJffaNFTQqq3tpO23cQR7FvJDiExKsQb2xcpb_ehFPMrlapL9Gq2YeBc&fref=mentions&__xts__[0]=68.ARD5bUPlkfsizLQPX3JC4vh73IW7QgRsHLV6pHVpn-Mm5Zt7iUizC5okE90nxV_MH8CyFjgHZuYNndl3Wdr_8ER9OIQ0agiOxIo4zCHDvq28rw4q23J94fl_vNmKiDD674iKj2KFSJaSnaciPR-Xl-m4Rg-CxsTuLb0sPaR4utyzYq-ykHlB3XL-mjFf9EgjnUp3VNS0WIvzMYFQA8bYjXKApELX7EjHTQ7h4hBMCsYWLmBW0lIxlJU5YAdFOiz2-mOab3_OdynUL3gfG0oJusoRHoKWYcFMfudR0S4ZwRPR8JIgyc43N1aRxhmooFOgDO3Ryqtg7vFJFOPyBAvn-Xrl2NWnvwFiVRAtURkwlhD1fCGQNfZkP-qoec9MB3xtus9HXjcgHxWLbiGHAYtgeM2ns3AqlgwRwgZ5V4HJJu89PiJ2vARXT-1-LM8_DUwHW_6kWvkf2Vt300-WBhSKTIE3ghYzjkZl042Fnl-kNvB3-E6jyIbzmFHOharHPhLgRRlb.;Facebook;;;;;
29;Nazaire, Jessica;Blog de Jessica Nazaire, poésie Haïti ;https://leepluma.blogspot.com/.;blog supprimé;;;https://viaf.org/viaf/2151836426020400781/#Nazaire,_Jessica,_1997-;;
30;Nazaire, Jessica;Blog de Jessica Nazaire ;https://jessicanazaireblog.wordpress.com/.;blog Wordpress;;;https://viaf.org/viaf/2151836426020400781/#Nazaire,_Jessica,_1997-;;
31;Nazaire, Jessica;Page Facebook de Jessica Nazaire ;https://www.facebook.com/Perlouse/.;Facebook;;;https://viaf.org/viaf/2151836426020400781/#Nazaire,_Jessica,_1997-;;
32;Nazaire, Jessica;Poétesse haïtienne (1 ouvrage) ;https://www.facebook.com/Perlouse/.;Facebook;;;https://viaf.org/viaf/2151836426020400781/#Nazaire,_Jessica,_1997-;;
33;Noel, James;James Noel ;https://www.facebook.com/james.noel.90.;Facebook;;;https://viaf.org/viaf/58863888/#Noël,_James,_1978-;https://data.bnf.fr/fr/15993246/james_noel/;https://fr.wikipedia.org/wiki/James_Noël
34;Noel, James;Saxophonies | Le Club de Mediapart ;https://blogs.mediapart.fr/james-noel/blog.;blog Médiapart;;;https://viaf.org/viaf/58863888/#Noël,_James,_1978-;https://data.bnf.fr/fr/15993246/james_noel/;https://fr.wikipedia.org/wiki/James_Noël
35;Obed, Lamy;blogueur journaliste haïtien ;https://lacouverture5.wordpress.com/author/obedlamy/.;blog Wordpress;;;;;
36;Osman, Jérôme;blogueur haïtien (littérature, foot);http://lautrehaiti.mondoblog.org/.;mondoblog;;;;;
37;Petit-Frère, Dieulermesson;blog d’écrivain, critique et universitaire haïtien ;http://alalettre.mondoblog.org/.;mondoblog;;;https://viaf.org/viaf/280180906/#Petit_Frère,_Dieulermesson_1982-;https://data.bnf.fr/fr/16638550/dieulermesson_petit_frere/;
38;Raynaldo, Pierre-Louis;blog d’écrivain avec autres écrivains ;http://raynaldoplouis.over-blog.com/.;blog;;;https://viaf.org/viaf/117144647634943905751/#Pierre_Louis,_Raynaldo,_1990-;https://data.bnf.fr/fr/16990547/raynaldo_pierre_louis/;
39;Snayder, Pierre-Louis;page facebook de poésie ;https://www.facebook.com/pg/Snayder-Pierre-louis-490246301143248/posts/.;Facebook;;;https://viaf.org/viaf/6151836528020402893/#Pierre_Louis,_Snayder,_1994-;;
40;Snayder, Pierre-Louis;poète haïtien multisupport ;http://snaypipluma.simplesite.com/436716316.;blog;;;https://viaf.org/viaf/6151836528020402893/#Pierre_Louis,_Snayder,_1994-;;
41;Théard, Marie-Alice;Page Facebook ;https://www.facebook.com/mariealice.theard.;Facebook;;;https://viaf.org/viaf/14109213/#Théard,_Marie-Alice;https://data.bnf.fr/fr/16267122/marie-alice_theard/;https://en.wikipedia.org/wiki/Marie-Alice_Théard
42;Wèches, Evains;blog;https://evainsdejeremie.blogspot.com/?view=classic.;blog;;;;;
43;Wolf Gorbatchev, Oscar;poèmes en ligne d’un poète haïtien ;https://www.plume-de-poete.fr/author/oscarwolf/.;blog;;;https://viaf.org/viaf/19146573964738102870/#Oscar,_Wolf_Gorbatchèv_1993-....;https://data.bnf.fr/fr/17047690/wolf_gorbatchev_oscar/;
44;Wolf Gorbatchev, Oscar;poèmes en ligne d’un poète haïtien ;https://short-edition.com/fr/auteur/wolf-gorbatchev-oscar.;plateforme éditoriale;;;https://viaf.org/viaf/19146573964738102870/#Oscar,_Wolf_Gorbatchèv_1993-....;https://data.bnf.fr/fr/17047690/wolf_gorbatchev_oscar/;
45;Wolf Gorbatchev, Oscar;poète haïtien publiant en ligne sur diverses plateformes;http://online-litterature.com/comment-page-3/. ;blog;;;https://viaf.org/viaf/19146573964738102870/#Oscar,_Wolf_Gorbatchèv_1993-....;https://data.bnf.fr/fr/17047690/wolf_gorbatchev_oscar/;
46;;Liste des auteurs et personnalités littéraires invités au 5è Congrès | Congrès | Congrès international des écrivains de la Caraïbe ;http://ecrivainsdelacaraibe.com/Congres-2011/invites-2eme-edition.html.;blog;evenement;;;;
47;;Littérature | l’Or des Îles ;https://ordesiles.com/category/culture/litterature-evenements_culturels-culture/page/2/.;blog;actualité;;;;
48;;littérature et philosophie ;http://controversehaiti.org/.;blog;HS;;;;
49;;Poète haïtien ;https://www.facebook.com/pg/JLAH2030/posts/.;page supprimée;;;;;
50;;site culturel Haïti ;http://kafoumag.canalblog.com/.;blog;;;;;
51;;Site d’information indépendant avec beaucoup de littérature ;http://www.balistrad.com/article/blog/balistrad-haiti-actualite/culture/litterature/.;blog;;;;;
